episode,reward,length,time
228,4.271012,5,19.265104
229,5.718508,7,19.333527
230,5.723652,7,19.398228
231,5.689949,7,19.465396
232,9.591174,12,19.578399
233,12.81696,14,19.719197
234,10.885778,15,19.915072
235,11.123215,13,20.045134
236,6.939337,8,20.12277
237,8.654652,10,20.220002
238,6.798803,8,20.298237
239,8.577409,10,20.414946
240,3.366667,4,20.452411
241,6.978058,8,20.528541
242,8.947051,11,20.634025
243,6.953146,8,20.711308
244,6.081454,7,21.223832
245,7.417761,9,21.314305
246,11.316505,14,21.447264
247,13.356234,15,21.5876
248,9.001076,11,21.694576
249,8.717843,11,21.799276
250,5.789682,7,21.864161
251,4.001329,5,21.915422
252,14.800679,17,22.08814
253,9.735798,11,22.19293
254,5.61593,7,22.258023
255,13.16178,15,22.399651
256,8.046991,10,22.494366
257,11.067992,13,22.615605
258,7.047161,9,22.698024
259,5.889007,7,22.763888
260,3.222222,4,22.801171
261,7.877023,9,22.887153
262,6.09527,7,22.951172
263,7.631688,9,23.036443
264,12.132827,14,23.170435
265,4.125737,5,23.217193
266,4.069415,5,23.263677
267,7.313896,9,23.35143
268,8.356225,10,23.446875
269,13.39118,15,23.607837
270,4.148383,5,23.654821
271,7.617046,9,23.738867
272,3.179259,4,23.776476
273,6.746403,8,23.854494
274,6.122461,8,23.9288
275,8.463418,10,24.023665
276,11.111375,15,24.164176
277,13.429797,16,24.308921
278,5.785016,7,24.375915
279,5.957037,7,24.440268
280,11.114433,14,24.573313
281,10.389875,12,24.683486
282,6.021745,7,24.747466
283,6.966296,8,24.821102
284,13.030722,15,24.988207
285,14.21729,16,25.140626
286,6.811364,8,25.214038
287,5.187679,6,25.268842
288,6.084777,7,25.335316
289,3.187679,4,25.373163
290,8.097074,10,25.465659
291,5.247436,6,25.520972
292,4.944982,6,25.57935
293,4.933157,6,25.635213
294,10.247484,12,25.752215
295,3.13701,4,25.790688
296,11.089132,14,25.958673
297,6.213627,7,26.027561
298,9.567686,12,26.144902
299,6.00337,7,26.21441
300,4.901369,6,26.270413
301,6.646704,8,26.371035
302,3.234815,4,26.409471
303,11.518494,15,26.55592
304,4.219276,5,26.602079
305,7.55133,9,26.68837
306,13.384012,15,26.836662
307,6.90165,8,26.910937
308,5.833757,7,26.976536
309,11.542481,15,27.114721
310,11.871599,14,27.244688
311,8.662815,10,27.336291
312,9.743805,11,27.445456
313,8.522192,10,27.541609
314,11.94143,16,27.690286
315,6.970163,8,27.768374
316,4.194444,5,27.814703
317,7.004812,8,27.910757
318,10.234468,12,28.030747
319,6.8458,8,28.106767
320,7.888897,10,28.202403
321,13.328179,15,28.34073
322,5.890786,7,28.408022
323,6.822288,8,28.485521
324,4.305611,5,28.53292
325,6.158072,7,28.60043
326,6.578932,8,28.682634
327,3.318148,4,28.720677
328,3.215457,4,28.759458
329,4.361111,5,28.807891
330,11.900784,14,28.940482
331,9.389508,11,29.043167
332,6.6613,8,29.120684
333,4.177876,5,29.167698
334,5.875973,7,29.235105
335,13.467704,16,29.4116
336,11.405816,15,29.55449
337,7.23939,8,29.63262
338,3.86609,5,29.680469
339,11.805258,16,29.830477
340,6.25,7,29.897901
341,6.848327,8,29.975926
342,13.245123,15,30.117569
343,6.895836,8,30.206936
344,8.030414,10,30.302951
345,5.819886,7,30.367407
346,8.495521,11,30.471093
347,5.861648,7,30.538435
348,5.152744,6,30.594665
349,4.194444,5,30.642166
350,4.132123,5,30.690168
351,9.570806,12,30.802342
352,5.179147,6,30.880458
353,4.998121,6,30.941816
354,6.097573,7,31.010368
355,5.834681,7,31.082333
356,12.550679,14,31.222091
357,4.015912,5,31.27155
358,6.130118,7,31.336271
359,7.166698,8,31.412666
360,9.573562,11,31.517077
361,3.347945,4,31.555512
362,3.888907,5,31.601817
363,6.073615,7,31.668667
364,13.539181,15,31.860531
365,8.052188,10,31.978916
366,4.15448,5,32.027374
367,10.055003,13,32.201386
368,13.724132,15,32.359492
369,11.655769,15,32.525529
370,6.860649,8,32.599519
371,5.790803,7,32.666534
372,8.496213,10,32.766229
373,6.229147,8,32.840604
374,7.920376,9,32.927422
375,8.705652,10,33.021451
376,3.262593,4,33.060263
377,9.422501,12,33.170565
378,8.25811,10,33.267164
379,4.114056,5,33.313489
380,14.410168,17,33.466724
381,11.613455,15,33.605236
382,10.828815,13,33.729438
383,3.277778,4,33.766972
384,9.654089,12,33.882204
