episode,reward,length,time
234,9.625,11,33.18319
235,10.208333,11,33.365752
236,9.416667,11,33.542667
237,9.958333,11,33.721741
238,10.375,11,33.892923
239,10.583333,11,34.069373
240,9.291667,11,34.248046
241,9.5,11,34.422147
242,10.041667,11,34.604093
243,10.75,11,34.782896
244,8.958333,11,34.959811
245,9.083333,11,35.141309
246,9.5,11,35.315581
247,10.25,11,35.494869
248,10.583333,11,35.672234
249,10.166667,11,35.846499
250,10.458333,11,36.021148
251,10.208333,11,36.19279
252,4.958333,6,36.289476
253,3.791667,5,36.376744
254,4.708333,6,36.476261
255,9.666667,11,36.655859
256,1.166667,2,36.691013
257,1.166667,2,36.728808
258,10.75,11,36.904542
259,5.166667,6,37.003946
260,4.833333,6,37.107269
261,8.625,10,37.268428
262,10.0,11,37.44675
263,1.083333,2,37.48134
264,5.666667,7,37.597611
265,10.25,11,37.777938
266,4.708333,6,37.878443
267,4.75,6,37.976869
268,10.458333,11,38.178322
269,9.916667,11,38.352169
270,9.166667,11,38.534454
271,10.208333,11,38.712451
272,10.208333,11,38.891911
273,5.708333,7,39.009974
274,9.666667,11,39.187393
275,10.208333,11,39.365182
276,10.041667,11,39.543708
277,9.291667,11,39.719521
278,10.25,11,39.895367
279,9.0,11,40.077321
280,10.125,11,40.253847
281,9.041667,11,40.434626
282,9.875,11,40.61397
283,1.125,2,40.652226
284,9.583333,11,40.841434
285,9.75,11,41.018914
286,10.125,11,41.195324
287,2.916667,4,41.262566
288,10.5,11,41.442091
289,1.166667,2,41.477689
290,9.583333,11,41.657526
291,9.0,11,41.840705
292,1.125,2,41.876024
293,1.041667,2,41.912883
294,9.625,11,42.091224
295,9.875,11,42.274559
296,9.375,11,42.446787
297,6.708333,8,42.581023
298,5.666667,7,42.700938
299,1.833333,3,42.753577
300,4.75,6,42.854278
301,5.625,7,42.970091
302,10.0,11,43.148263
303,10.458333,11,43.326718
304,9.916667,11,43.501409
305,1.833333,3,43.554261
306,4.791667,6,43.654976
307,9.291667,11,43.831493
308,10.166667,11,44.007521
309,9.291667,11,44.184171
310,10.708333,11,44.362149
311,1.125,2,44.399049
312,10.208333,11,44.581724
313,9.916667,11,44.762725
314,9.541667,11,44.944429
315,9.958333,11,45.131661
316,10.916667,11,45.325036
317,9.916667,11,45.502696
318,10.291667,11,45.682714
319,10.0,11,45.904034
320,9.916667,11,46.078824
321,5.625,7,46.201051
322,9.208333,11,46.383165
323,9.25,11,46.563011
324,9.541667,11,46.73579
325,9.916667,11,46.920126
326,10.166667,11,47.103778
327,9.916667,11,47.280701
328,10.041667,11,47.458681
329,9.791667,11,47.645156
330,8.875,11,47.819994
331,10.166667,11,48.004281
332,10.458333,11,48.179706
333,9.375,11,48.365974
334,10.291667,11,48.549797
335,10.125,11,48.728842
336,5.625,7,48.842389
337,10.333333,11,49.022394
338,8.541667,10,49.199142
339,10.708333,11,49.374365
340,10.25,11,49.553614
341,8.375,10,49.716385
342,9.666667,11,49.896532
343,1.166667,2,49.933799
344,9.0,11,50.111584
345,10.791667,11,50.282696
346,10.0,11,50.460818
347,10.208333,11,50.645767
348,10.333333,11,50.851658
349,9.416667,11,51.052587
350,8.708333,10,51.225003
351,9.208333,11,51.401798
352,10.083333,11,51.578246
353,10.333333,11,51.759894
354,10.541667,11,51.936177
355,9.916667,11,52.116571
356,7.541667,9,52.314683
357,10.125,11,52.497841
358,10.125,11,52.675875
359,8.375,10,52.842783
360,10.25,11,53.027835
361,3.041667,4,53.101622
362,10.75,11,53.277153
363,3.0,4,53.347405
364,10.625,11,53.532601
365,10.5,11,53.712157
366,10.166667,11,53.89654
367,8.166667,10,54.070713
368,9.916667,11,54.249603
369,10.833333,11,54.429944
370,10.25,11,54.608197
371,10.5,11,54.785168
372,10.166667,11,54.964722
373,5.75,7,55.083819
374,10.958333,11,55.269331
375,9.958333,11,55.463859
376,10.208333,11,55.644428
377,1.166667,2,55.681378
378,9.958333,11,55.863359
379,9.166667,11,56.041854
380,10.75,11,56.228678
381,9.958333,11,56.410395
382,10.208333,11,56.590312
383,1.0,2,56.633269
384,10.875,11,56.809482
385,10.0,11,56.992212
386,10.916667,11,57.171315
387,1.166667,2,57.206694
388,1.0,2,57.244588
389,1.166667,2,57.28489
390,10.458333,11,57.460673
391,1.125,2,57.504181
392,9.666667,11,57.682847
393,9.916667,11,57.86253
394,9.916667,11,58.049139
395,10.25,11,58.224208
396,6.25,8,58.401557
397,10.416667,11,58.586847
398,9.916667,11,58.770574
399,10.916667,11,58.966659
400,5.75,7,59.086948
401,9.791667,11,59.270678
402,9.833333,11,59.448576
403,6.75,8,59.590603
404,9.5,11,59.771977
405,9.916667,11,59.963833
406,1.166667,2,59.999588
407,6.0,7,60.119844
408,10.166667,11,60.302899
409,9.791667,11,60.481737
410,10.0,11,60.665229
411,10.166667,11,60.850357
412,8.833333,11,61.031942
413,9.958333,11,61.213863
414,1.166667,2,61.25874
415,10.375,11,61.439317
416,10.291667,11,61.620875
417,9.958333,11,61.806137
418,9.833333,11,61.989789
419,10.416667,11,62.168511
420,9.625,11,62.34708
421,10.0,11,62.533853
422,7.75,9,62.711309
423,10.0,11,62.904481
424,10.375,11,63.086695
425,7.791667,9,63.237005
