episode,reward,length,time
228,12.520883,17,25.922293
229,14.91179,17,26.088744
230,14.356234,17,26.265418
231,13.745123,16,26.438436
232,12.883051,16,26.599629
233,4.182107,5,26.651831
234,7.799072,9,26.744191
235,12.110759,16,26.902897
236,8.39802,10,27.0016
237,13.661735,16,27.183036
238,12.940506,16,27.340779
239,14.217346,17,27.512286
240,10.231342,12,27.634653
241,13.215735,16,27.803732
242,11.944147,16,27.967298
243,12.884998,15,28.126403
244,8.414029,11,28.237841
245,9.356069,11,28.354421
246,14.634012,17,28.530054
247,9.91018,12,28.672641
248,13.522901,16,28.84153
249,14.372619,16,29.017534
250,11.943813,16,29.179544
251,14.522901,17,29.356031
252,9.326455,12,29.514261
253,13.975165,17,29.697911
254,12.159772,17,29.871093
255,13.994799,16,30.038325
256,14.549009,17,30.206658
257,11.944147,16,30.389421
258,13.41961,16,30.556427
259,7.738078,9,30.649467
260,9.960272,12,30.773048
261,13.967346,16,30.934385
262,11.805675,15,31.085525
263,13.447888,16,31.254073
264,6.895247,8,31.337486
265,8.328832,10,31.446648
266,12.939558,15,31.608434
267,14.402296,16,31.802294
268,12.996109,16,31.964673
269,10.786037,14,32.105685
270,3.280723,4,32.149371
271,13.16961,16,32.308837
272,13.828449,16,32.478796
273,10.293297,12,32.612926
274,11.910003,14,32.771876
275,14.078457,17,32.948601
276,14.411789,17,33.129905
277,13.439568,16,33.315842
278,11.717346,14,33.463626
279,13.467346,16,33.629674
280,13.542171,17,33.800112
281,12.031932,16,33.968118
282,5.567798,7,34.040182
283,12.633725,14,34.184174
284,12.161394,17,34.352505
285,14.328457,17,34.524687
286,11.939172,17,34.691589
287,14.245114,16,34.885653
288,14.430074,17,35.053144
289,13.488166,16,35.22157
290,14.384012,17,35.405516
291,14.049009,16,35.571746
292,13.336277,16,35.735545
293,14.549009,16,35.911389
294,14.382325,16,36.072449
295,13.438607,17,36.245818
296,14.828457,17,36.413592
297,13.244162,17,36.600718
298,14.467067,16,36.777023
299,14.856234,17,36.958394
300,12.856234,15,37.115017
301,13.857212,17,37.284384
302,14.328457,17,37.458572
303,12.773887,16,37.619603
304,14.085624,16,37.780623
305,12.105839,17,37.953149
306,13.114053,16,38.138014
