episode,total_reward,episode_length,crashes,avg_speed,collision_reward_sum,right_lane_reward_sum,high_speed_reward_sum,on_road_reward_sum
80,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
81,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
82,1.0,7,1,0.5243527077654714,1.0,0,6.0,7.0
83,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
84,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
85,2.1586670876212164,8,1,0.9146667719053041,1.0,0,7.158667087621216,8.0
86,0.0,6,1,0.5578952177984592,1.0,0,5.0,6.0
87,-1.0,13,1,0.06572533485370693,1.0,0,4.0,13.0
88,10.0,10,0,0.9000000021238392,0.0,0,10.0,10.0
89,-2.0,4,1,1.7076369245823493,1.0,0,3.0,4.0
90,0.15868108154168592,6,1,1.2195603605138954,1.0,0,5.158681081541686,6.0
91,-5.0,1,1,3.7641105497593847,1.0,0,0.0,1.0
92,0.0,6,1,1.0623736925282978,1.0,0,5.0,6.0
93,8.0,8,0,1.1250000909090918,0.0,0,8.0,8.0
94,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
95,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
96,0.0,6,1,0.6675324137278157,1.0,0,5.0,6.0
97,-1.0,5,1,0.9674394506683941,1.0,0,4.0,5.0
98,-0.2999234896621239,5,1,1.6800306041351505,1.0,0,4.700076510337876,5.0
99,9.0,9,0,1.0000000138091505,0.0,0,9.0,9.0
100,0.0,6,1,0.5709688071178085,1.0,0,5.0,6.0
